word,meaning,source_sentence,target_sentence,input_text,target_text
Cụ kệ,Lóng ngóng vụng về chân tay Rề rà chậm chạp,"Tính ổng cụ kệ từ đó tới giờ, nên có làm được chuyện gì trong nhà đâu","Tính ông ấy lóng ngóng vụng về từ xưa đến nay, nên có làm đỡ đần được việc gì trong nhà đâu","Cụ kệ [SEP] Lóng ngóng vụng về chân tay Rề rà chậm chạp [SEP] Tính ổng cụ kệ từ đó tới giờ, nên có làm được chuyện gì trong nhà đâu","Tính ông ấy lóng ngóng vụng về từ xưa đến nay, nên có làm đỡ đần được việc gì trong nhà đâu"
Hột xoài,1. Hình bầu dục.2. Bệnh sưng hạch ở bẹn (háng).,Mới sắm cái bàn hột xoài bao nhiêu vậy anh Tư?,Mới mua cái bàn hình bầu dục này giá bao nhiêu thế anh Tư?,Hột xoài [SEP] 1. Hình bầu dục.2. Bệnh sưng hạch ở bẹn (háng). [SEP] Mới sắm cái bàn hột xoài bao nhiêu vậy anh Tư?,Mới mua cái bàn hình bầu dục này giá bao nhiêu thế anh Tư?
Mút cà tha,"Hết giới hạn, kịch liệt, quá sức tưởng tượng.","Ăn chơi mút cà tha cái kiểu đó, thì học hành nên thân cái nỗi gì.","Ăn chơi bạt mạng/tẹt ga cái kiểu đó, thì học hành nên thân cái nỗi gì.","Mút cà tha [SEP] Hết giới hạn, kịch liệt, quá sức tưởng tượng. [SEP] Ăn chơi mút cà tha cái kiểu đó, thì học hành nên thân cái nỗi gì.","Ăn chơi bạt mạng/tẹt ga cái kiểu đó, thì học hành nên thân cái nỗi gì."
Ấy 5,"Đừng thế, không phải thế (Bác bỏ điều trước đó).","- Bẩm chủ, tôi xin mướn ruộng, chớ không lãnh ruộng giao. - Ấy, việc mướn chác thì mình biết với nhau...","- Bẩm chủ, tôi xin mướn ruộng, chứ không lãnh ruộng giao. - Đừng nói thế, việc mướn chác thì mình biết với nhau...","Ấy 5 [SEP] Đừng thế, không phải thế (Bác bỏ điều trước đó). [SEP] - Bẩm chủ, tôi xin mướn ruộng, chớ không lãnh ruộng giao. - Ấy, việc mướn chác thì mình biết với nhau...","- Bẩm chủ, tôi xin mướn ruộng, chứ không lãnh ruộng giao. - Đừng nói thế, việc mướn chác thì mình biết với nhau..."
Sở hụi hụi,"Tiền vốn, cổ phần",Vụ này tui có sở hụi một phần ba.,Vụ này tôi có vốn góp một phần ba.,"Sở hụi hụi [SEP] Tiền vốn, cổ phần [SEP] Vụ này tui có sở hụi một phần ba.",Vụ này tôi có vốn góp một phần ba.
Quắc cần,Say không biết gì,Ổng xỉn quắc cần nằm ngoài hiên kìa.,Ông ấy say bí tỉ nằm ngoài hiên kìa.,Quắc cần [SEP] Say không biết gì [SEP] Ổng xỉn quắc cần nằm ngoài hiên kìa.,Ông ấy say bí tỉ nằm ngoài hiên kìa.
Nhơn ngãi,"Nhân ngãi, quan hệ yêu đương gắn bó nam nữ.",Mày mà muốn yên thân thì phải lánh xa cái quan hệ nhơn ngãi ấy thôi,Cậu mà muốn yên thân thì phải tránh xa mối quan hệ yêu đương đó thôi,"Nhơn ngãi [SEP] Nhân ngãi, quan hệ yêu đương gắn bó nam nữ. [SEP] Mày mà muốn yên thân thì phải lánh xa cái quan hệ nhơn ngãi ấy thôi",Cậu mà muốn yên thân thì phải tránh xa mối quan hệ yêu đương đó thôi
Trở quẻ cờ,"Lật mặt, thay đổi ý",Đang bàn ngon lành tự nhiên nó trở quẻ.,Đang bàn tốt đẹp tự nhiên nó thay lòng.,"Trở quẻ cờ [SEP] Lật mặt, thay đổi ý [SEP] Đang bàn ngon lành tự nhiên nó trở quẻ.",Đang bàn tốt đẹp tự nhiên nó thay lòng.
Lòng,"Lòng đen, tròng đen (của mắt).",Người châu Á có lòng mắt đen,Người châu Á có tròng mắt đen,"Lòng [SEP] Lòng đen, tròng đen (của mắt). [SEP] Người châu Á có lòng mắt đen",Người châu Á có tròng mắt đen
Nhà dây thép,"Bưu điện Nhà phụ, nhà bếp Viện dưỡng lão.",Xuống nhà dưới,Xuống nhà bếp,"Nhà dây thép [SEP] Bưu điện Nhà phụ, nhà bếp Viện dưỡng lão. [SEP] Xuống nhà dưới",Xuống nhà bếp
Cạp điều,"Hiện tượng đỏ quanh cổ chân do ghẻ lở, côn trùng cắn",Thằng này có cái chân cạp điều trông sang dữ ta!,Cái thằng có cái chân ghẻ lở trông kinh thế kia,"Cạp điều [SEP] Hiện tượng đỏ quanh cổ chân do ghẻ lở, côn trùng cắn [SEP] Thằng này có cái chân cạp điều trông sang dữ ta!",Cái thằng có cái chân ghẻ lở trông kinh thế kia
Tưng tưng Tửng tửng,"Hâm hấp, chạm mạch",Thằng đó tính nó hơi tưng tưng.,Cậu đó tính hơi dở hơi.,"Tưng tưng Tửng tửng [SEP] Hâm hấp, chạm mạch [SEP] Thằng đó tính nó hơi tưng tưng.",Cậu đó tính hơi dở hơi.
Liếc dọc (liếc ngang),"Đưa mắt nhìn quanh quất, đảo mắt liên tục.",Đi ra đường cứ liếc dọc liếc ngang,Đi ra đường cứ liếc dọc liếc ngang,"Liếc dọc (liếc ngang) [SEP] Đưa mắt nhìn quanh quất, đảo mắt liên tục. [SEP] Đi ra đường cứ liếc dọc liếc ngang",Đi ra đường cứ liếc dọc liếc ngang
Gài độ,Gợi ý nhậu nhẹt hoặc móc nối công việc,"Mày gặp nó, thế nào nó cũng gài độ cho mày xỉn thôi",Cậu mà gặp hắn thì kiểu gì hắn cũng gài bẫy bắt cậu uống say mướt,"Gài độ [SEP] Gợi ý nhậu nhẹt hoặc móc nối công việc [SEP] Mày gặp nó, thế nào nó cũng gài độ cho mày xỉn thôi",Cậu mà gặp hắn thì kiểu gì hắn cũng gài bẫy bắt cậu uống say mướt
Khùng,"Loạn trí, hơi điên, khờ nói bậy bạ.",Hơi đâu mà mày đi nói chuyện với cái thằng khùng đó cho mệt.,Hơi sức đâu mà mày đi nói chuyện với cái thằng dở hơi đó cho mệt.,"Khùng [SEP] Loạn trí, hơi điên, khờ nói bậy bạ. [SEP] Hơi đâu mà mày đi nói chuyện với cái thằng khùng đó cho mệt.",Hơi sức đâu mà mày đi nói chuyện với cái thằng dở hơi đó cho mệt.
Vính cướng,"Ngang ngược, phách lối","Chuyện vính cướng này nghe lạ nhưng thiệt đó, tao chứng kiến.","Chuyện ngang ngược này nghe lạ nhưng thật đó, tớ chứng kiến.","Vính cướng [SEP] Ngang ngược, phách lối [SEP] Chuyện vính cướng này nghe lạ nhưng thiệt đó, tao chứng kiến.","Chuyện ngang ngược này nghe lạ nhưng thật đó, tớ chứng kiến."
Ít oi,"Ít ỏi, rất ít, tí ti, vụn vặt không bõ bèn gì.","Cái bánh ít xỉn, ăn không đủ dính kẽ răng.","Cái bánh bé tí teo, ăn chẳng bõ dính răng.","Ít oi [SEP] Ít ỏi, rất ít, tí ti, vụn vặt không bõ bèn gì. [SEP] Cái bánh ít xỉn, ăn không đủ dính kẽ răng.","Cái bánh bé tí teo, ăn chẳng bõ dính răng."
Lấy rồi,"Làm lấy có, cẩu thả, qua loa cho xong.","Thằng đó hay làm lấy rồi, nên ông nhà tôi ổng hổng chịu mướn nó.","Thằng đó hay làm cẩu thả, nên ông nhà tôi ông ấy không thèm thuê nó.","Lấy rồi [SEP] Làm lấy có, cẩu thả, qua loa cho xong. [SEP] Thằng đó hay làm lấy rồi, nên ông nhà tôi ổng hổng chịu mướn nó.","Thằng đó hay làm cẩu thả, nên ông nhà tôi ông ấy không thèm thuê nó."
Nò nĩnh,1. Quấy rầy đòi bằng được.2. Dòm ngó chuyện người khác.,chỗ có khách mà con cứ nò nĩnh hoài.,đang có khách mà con cứ quấy rầy vòi vĩnh mãi.,Nò nĩnh [SEP] 1. Quấy rầy đòi bằng được.2. Dòm ngó chuyện người khác. [SEP] chỗ có khách mà con cứ nò nĩnh hoài.,đang có khách mà con cứ quấy rầy vòi vĩnh mãi.
Nai (1),"1. Đeo, điệu, gùi mang nặng sau lưng.2. Buộc, siết chặt.",Mấy thằng Tây nó nai cái ba lô bự thấy mà hết biết luôn.,Mấy anh Tây anh ấy gùi cái ba lô to thấy mà hoảng luôn.,"Nai (1) [SEP] 1. Đeo, điệu, gùi mang nặng sau lưng.2. Buộc, siết chặt. [SEP] Mấy thằng Tây nó nai cái ba lô bự thấy mà hết biết luôn.",Mấy anh Tây anh ấy gùi cái ba lô to thấy mà hoảng luôn.
Trào bản họng,Giận sôi người,"Chuyện trào bản họng này nghe lạ nhưng thiệt đó, tao chứng kiến.","Chuyện giận sôi người này nghe lạ nhưng thật đó, tớ chứng kiến.","Trào bản họng [SEP] Giận sôi người [SEP] Chuyện trào bản họng này nghe lạ nhưng thiệt đó, tao chứng kiến.","Chuyện giận sôi người này nghe lạ nhưng thật đó, tớ chứng kiến."
Tam xàm Tàm xàm,"Nói nhảm nhí, vớ vẩn",Ba cái chuyện tam xàm đó tin làm gì.,Mấy chuyện vớ vẩn đó tin làm gì.,"Tam xàm Tàm xàm [SEP] Nói nhảm nhí, vớ vẩn [SEP] Ba cái chuyện tam xàm đó tin làm gì.",Mấy chuyện vớ vẩn đó tin làm gì.
Khèo,"2. Kho khô, quẹt.","Làm một tí nước mắm khèo ăn với cháo trắng cũng đủ ghiền, chớ bộ.","Làm một tí nước mắm kho quẹt ăn với cháo trắng cũng đủ nghiện, chứ lị.","Khèo [SEP] 2. Kho khô, quẹt. [SEP] Làm một tí nước mắm khèo ăn với cháo trắng cũng đủ ghiền, chớ bộ.","Làm một tí nước mắm kho quẹt ăn với cháo trắng cũng đủ nghiện, chứ lị."
Lớn xộn,Lớn phổng lên trông thấy nổi bật về kích cỡ to.,Hàm răng anh lớn xộn,Hàm răng anh to hô,Lớn xộn [SEP] Lớn phổng lên trông thấy nổi bật về kích cỡ to. [SEP] Hàm răng anh lớn xộn,Hàm răng anh to hô
Lanh,"Nhanh nhẹn, sắc sảo, hoạt bát mồm mép (ranh).",Con nhỏ lanh kì cục lắm,Con bé hoạt bát ghê gớm,"Lanh [SEP] Nhanh nhẹn, sắc sảo, hoạt bát mồm mép (ranh). [SEP] Con nhỏ lanh kì cục lắm",Con bé hoạt bát ghê gớm
Quần xì,Quần lót (Slip),Mấy cái quần xì đó mắc tiền lắm.,Mấy chiếc quần lót đó đắt tiền lắm.,Quần xì [SEP] Quần lót (Slip) [SEP] Mấy cái quần xì đó mắc tiền lắm.,Mấy chiếc quần lót đó đắt tiền lắm.
Chén hoén,"Cụt ngủn, ít ỏi, nhỏ nhoi","Chỉ còn chén hoén mấy đồng bạc mà đi chơi, chán lắm","Chỉ còn vẻn vẹn mấy đồng bạc mà đi chơi, chán thật","Chén hoén [SEP] Cụt ngủn, ít ỏi, nhỏ nhoi [SEP] Chỉ còn chén hoén mấy đồng bạc mà đi chơi, chán lắm","Chỉ còn vẻn vẹn mấy đồng bạc mà đi chơi, chán thật"
Sồng sộc quyết một,"Nằng nặc, bắt bằng được","Tao học được cái sồng sộc quyết một này từ hồi nhỏ, giờ vẫn nhớ.","Tớ học được cái nằng nặc này từ hồi nhỏ, giờ vẫn nhớ.","Sồng sộc quyết một [SEP] Nằng nặc, bắt bằng được [SEP] Tao học được cái sồng sộc quyết một này từ hồi nhỏ, giờ vẫn nhớ.","Tớ học được cái nằng nặc này từ hồi nhỏ, giờ vẫn nhớ."
Ngậm họng (ăn tiền),"Câm mồm, ngậm miệng cứng họng đuối lý Ngậm miệng ăn tiền, nhận hối lộ để làm thinh.",Cái thằng cha này chỉ biết ngậm họng ăn tiền thôi,Gã này chỉ biết ngậm miệng ăn tiền thôi,"Ngậm họng (ăn tiền) [SEP] Câm mồm, ngậm miệng cứng họng đuối lý Ngậm miệng ăn tiền, nhận hối lộ để làm thinh. [SEP] Cái thằng cha này chỉ biết ngậm họng ăn tiền thôi",Gã này chỉ biết ngậm miệng ăn tiền thôi
Lại mâm,"Lại quả (sau ăn hỏi, cưới xin).","Đi cho nhà gái, họ chẳng lại mâm cái gì cả","Mang lễ cho nhà gái, họ chẳng lại quả cái gì cả","Lại mâm [SEP] Lại quả (sau ăn hỏi, cưới xin). [SEP] Đi cho nhà gái, họ chẳng lại mâm cái gì cả","Mang lễ cho nhà gái, họ chẳng lại quả cái gì cả"
Ăn không,"Ăn cơm nhạt, ăn cơm mà không có thức ăn","Tội nghiệp nó, có bữa không có đồ ăn thì nó ăn không vậy đó chị ơi","Tội nghiệp nó, có bữa không có đồ ăn thì nó chỉ ăn cơm nhạt vậy đó chị ơi","Ăn không [SEP] Ăn cơm nhạt, ăn cơm mà không có thức ăn [SEP] Tội nghiệp nó, có bữa không có đồ ăn thì nó ăn không vậy đó chị ơi","Tội nghiệp nó, có bữa không có đồ ăn thì nó chỉ ăn cơm nhạt vậy đó chị ơi"
Ma cỏ,Ma quỷ (nói chung) thuỷ quái (ma nước) người ngoại quốc da đen.,Bơi ra xa coi chừng ma da rủ giò,Bơi ra xa coi chừng ma nước kéo chân,Ma cỏ [SEP] Ma quỷ (nói chung) thuỷ quái (ma nước) người ngoại quốc da đen. [SEP] Bơi ra xa coi chừng ma da rủ giò,Bơi ra xa coi chừng ma nước kéo chân
Máng cựa,1. Vướng cựa (bị đâm chém trúng).2. Bị dính líu kẹt trong vụ bê bối.,Con gà này bị máng cựa rồi,Con gà này bị dính cựa rồi,Máng cựa [SEP] 1. Vướng cựa (bị đâm chém trúng).2. Bị dính líu kẹt trong vụ bê bối. [SEP] Con gà này bị máng cựa rồi,Con gà này bị dính cựa rồi
La,"1. Nói to, kêu, gọi.2. Mắng, rầy, quở trách.",La lối um sùm,Mắng mỏ ầm ĩ,"La [SEP] 1. Nói to, kêu, gọi.2. Mắng, rầy, quở trách. [SEP] La lối um sùm",Mắng mỏ ầm ĩ
Chực hờ hòm,"Chờ sẵn, chực chờ sẵn tiện tay (chuẩn bị trước)","Anh phải chực hờ ở đó, không thôi xe nó đến, nó không biết, nó đi mất thôi","Anh phải đứng đón lõng sẵn ở đó, nếu không xe tới họ không biết lại đi mất đấy","Chực hờ hòm [SEP] Chờ sẵn, chực chờ sẵn tiện tay (chuẩn bị trước) [SEP] Anh phải chực hờ ở đó, không thôi xe nó đến, nó không biết, nó đi mất thôi","Anh phải đứng đón lõng sẵn ở đó, nếu không xe tới họ không biết lại đi mất đấy"
Bảy chảy,"Bóng bẩy, lưu loát, trôi chảy",Nghe nó ăn nói bảy chảy cũng đoán biết con nhà có học,Nghe nó ăn nói trôi chảy cũng đoán biết con nhà có học,"Bảy chảy [SEP] Bóng bẩy, lưu loát, trôi chảy [SEP] Nghe nó ăn nói bảy chảy cũng đoán biết con nhà có học",Nghe nó ăn nói trôi chảy cũng đoán biết con nhà có học
Cá cóc cá nhái,"Chỉ chung các loại cá nhỏ Hạng người tầm thường, không đáng để ý",Hơi đâu mà phải chi cho cái bọn cá cóc cá nhái ấy,Việc gì phải tốn tiền cho cái đám người tầm thường đó,"Cá cóc cá nhái [SEP] Chỉ chung các loại cá nhỏ Hạng người tầm thường, không đáng để ý [SEP] Hơi đâu mà phải chi cho cái bọn cá cóc cá nhái ấy",Việc gì phải tốn tiền cho cái đám người tầm thường đó
Cà chía Cà chịa,"Lém, xấc láo, hay xen vào việc người khác hoặc gây gổ",Chuyện của người ta mày cà chía vô để làm gì,"Cà khịa, can dự bất lịch sự","Cà chía Cà chịa [SEP] Lém, xấc láo, hay xen vào việc người khác hoặc gây gổ [SEP] Chuyện của người ta mày cà chía vô để làm gì","Cà khịa, can dự bất lịch sự"
Máng (động từ),"Treo, mắc, vắt, vướng vào.",Con máng mùng cho em nó ngủ đi.,Con mắc màn cho em nó ngủ đi.,"Máng (động từ) [SEP] Treo, mắc, vắt, vướng vào. [SEP] Con máng mùng cho em nó ngủ đi.",Con mắc màn cho em nó ngủ đi.
Tằng hắng,Ho nhẹ để ra hiệu,"Anh Ba giải thích cho tụi nhỏ nghe về tằng hắng, tụi nhỏ gật gù.","Anh Ba giải thích cho bọn nhỏ nghe về ho nhẹ để ra hiệu, bọn nhỏ gật gù.","Tằng hắng [SEP] Ho nhẹ để ra hiệu [SEP] Anh Ba giải thích cho tụi nhỏ nghe về tằng hắng, tụi nhỏ gật gù.","Anh Ba giải thích cho bọn nhỏ nghe về ho nhẹ để ra hiệu, bọn nhỏ gật gù."
Lẻ mẻ,"1. Sứt mẻ, không nguyên vẹn.2. Lẻ tẻ, vụn vặt.","Ba cái tiền đó anh để nguyên đi, chớ khui ra lẻ mẻ là xài hết","Chỗ tiền đó anh để nguyên đi, chứ bóc ra tiêu lẻ tẻ là hết","Lẻ mẻ [SEP] 1. Sứt mẻ, không nguyên vẹn.2. Lẻ tẻ, vụn vặt. [SEP] Ba cái tiền đó anh để nguyên đi, chớ khui ra lẻ mẻ là xài hết","Chỗ tiền đó anh để nguyên đi, chứ bóc ra tiêu lẻ tẻ là hết"
Ba chớp ba nháng,"Làm việc qua loa, cẩu thả, vội vàng không cẩn thận.","Tính tao cẩn thận, không có khoái mấy đứa làm ăn ba chớp ba nháng.","Tính tôi cẩn thận, không thích những người làm ăn cẩu thả.","Ba chớp ba nháng [SEP] Làm việc qua loa, cẩu thả, vội vàng không cẩn thận. [SEP] Tính tao cẩn thận, không có khoái mấy đứa làm ăn ba chớp ba nháng.","Tính tôi cẩn thận, không thích những người làm ăn cẩu thả."
Bái chối,Cây ké (có gai móc),Con đi đâu mà để bái chối dính đầy quần vậy,Con đi đâu mà để quả ké dính đầy quần vậy,Bái chối [SEP] Cây ké (có gai móc) [SEP] Con đi đâu mà để bái chối dính đầy quần vậy,Con đi đâu mà để quả ké dính đầy quần vậy
Nhá,"Dứ dứ, hé lộ một tí, làm động tác giả Để hở góc cho thấy Nháy đèn Nháy máy điện thoại.",Nhá thử cho tao coi,Hé thử cho tao xem,"Nhá [SEP] Dứ dứ, hé lộ một tí, làm động tác giả Để hở góc cho thấy Nháy đèn Nháy máy điện thoại. [SEP] Nhá thử cho tao coi",Hé thử cho tao xem
Lọng cọng,"Bồn chồn, ngóng",Làm lọng cọng,Làm lóng ngóng đổ tháo,"Lọng cọng [SEP] Bồn chồn, ngóng [SEP] Làm lọng cọng",Làm lóng ngóng đổ tháo
Sắp nóc,Đặt ngói đỉnh mái nhà,Sáng nay thợ mới sắp nóc xong.,Sáng nay thợ mới lợp ngói đỉnh xong.,Sắp nóc [SEP] Đặt ngói đỉnh mái nhà [SEP] Sáng nay thợ mới sắp nóc xong.,Sáng nay thợ mới lợp ngói đỉnh xong.
Chát ngắt ngấm,"Rất chát, vị chát xít không thể ăn được",Ba cái lá này chát ngắt,"Mấy cái lá này chát xít ra, ăn sao được","Chát ngắt ngấm [SEP] Rất chát, vị chát xít không thể ăn được [SEP] Ba cái lá này chát ngắt","Mấy cái lá này chát xít ra, ăn sao được"
Lắc rắc,"1. Lấm tấm, lâm râm, từng tí một.2. Tiếng nứt, gãy.",Ăn lắc rắc,Ăn lặt vặt,"Lắc rắc [SEP] 1. Lấm tấm, lâm râm, từng tí một.2. Tiếng nứt, gãy. [SEP] Ăn lắc rắc",Ăn lặt vặt
Tanh bành,"Bừa bãi, xáo trộn","Tao học được cái tanh bành này từ hồi nhỏ, giờ vẫn nhớ.","Tớ học được cái bừa bãi này từ hồi nhỏ, giờ vẫn nhớ.","Tanh bành [SEP] Bừa bãi, xáo trộn [SEP] Tao học được cái tanh bành này từ hồi nhỏ, giờ vẫn nhớ.","Tớ học được cái bừa bãi này từ hồi nhỏ, giờ vẫn nhớ."
Chèo mái một,Chèo bổ xuống và nhấc lên theo từng nhịp dứt khoát,"Chèo mái một là bỏ xuống dở lên, từng động tác","Chèo nhịp một là bổ xuống nhấc lên, từng động tác rõ ràng","Chèo mái một [SEP] Chèo bổ xuống và nhấc lên theo từng nhịp dứt khoát [SEP] Chèo mái một là bỏ xuống dở lên, từng động tác","Chèo nhịp một là bổ xuống nhấc lên, từng động tác rõ ràng"
Cượng,Cưỡng lại số mệnh Gắng gượng sức vươn dậy,"Lần trước ngã té ổng còn cượng đứng dậy nổi, chó lần này thì nằm quẹp luôn","Lần ngã bệnh trước ông ấy còn có thể gắng gượng chống gậy tự đứng dậy được, chứ lần này thì sức cùng lực kiệt nên nằm bẹp dí luôn rồi","Cượng [SEP] Cưỡng lại số mệnh Gắng gượng sức vươn dậy [SEP] Lần trước ngã té ổng còn cượng đứng dậy nổi, chó lần này thì nằm quẹp luôn","Lần ngã bệnh trước ông ấy còn có thể gắng gượng chống gậy tự đứng dậy được, chứ lần này thì sức cùng lực kiệt nên nằm bẹp dí luôn rồi"
Cố mạng,"Bạt mạng, liều lĩnh, làm quá mức",Cái thằng chạy xe cố mạng đó thể nào cũng có ngày không vào nhà xác cũng vào nhà thương thôi,Cái thằng lái xe liều mạng đó kiểu gì cũng có ngày không vào nhà xác thì cũng vào bệnh viện,"Cố mạng [SEP] Bạt mạng, liều lĩnh, làm quá mức [SEP] Cái thằng chạy xe cố mạng đó thể nào cũng có ngày không vào nhà xác cũng vào nhà thương thôi",Cái thằng lái xe liều mạng đó kiểu gì cũng có ngày không vào nhà xác thì cũng vào bệnh viện
Non xèo,Quá non,Trái ổi hái trên cây xuống cắn miếng chát ngắt vì còn non xèo xanh lè chưa ăn được.,Quả ổi hái trên cây xuống cắn miếng chát ngắt vì còn non choẹt xanh lè chưa ăn được.,Non xèo [SEP] Quá non [SEP] Trái ổi hái trên cây xuống cắn miếng chát ngắt vì còn non xèo xanh lè chưa ăn được.,Quả ổi hái trên cây xuống cắn miếng chát ngắt vì còn non choẹt xanh lè chưa ăn được.
Trảng,Chỗ đất trống,"Cô Năm giải thích cho tụi nhỏ nghe về trảng, tụi nhỏ gật gù.","Cô Năm giải thích cho bọn nhỏ nghe về chỗ đất trống, bọn nhỏ gật gù.","Trảng [SEP] Chỗ đất trống [SEP] Cô Năm giải thích cho tụi nhỏ nghe về trảng, tụi nhỏ gật gù.","Cô Năm giải thích cho bọn nhỏ nghe về chỗ đất trống, bọn nhỏ gật gù."
Ông câu,1. Người làm nghề câu cá.2. Ông trùm người coi sóc nhà thờ (Công giáo).,nan,Ông ấy cũng là ông trùm họ đạo đấy chứ.,Ông câu [SEP] 1. Người làm nghề câu cá.2. Ông trùm người coi sóc nhà thờ (Công giáo). [SEP] nan,Ông ấy cũng là ông trùm họ đạo đấy chứ.
È ạch,"Khó nhọc, nặng nề, chậm chạp","Trông họ làm è ạch vậy mà cuối cùng rồi cũng xong, hay thiệt","Trông họ làm ì ạch vậy mà cuối cùng rồi cũng xong, hay thật","È ạch [SEP] Khó nhọc, nặng nề, chậm chạp [SEP] Trông họ làm è ạch vậy mà cuối cùng rồi cũng xong, hay thiệt","Trông họ làm ì ạch vậy mà cuối cùng rồi cũng xong, hay thật"
Nẵng nỉ,Năn nỉ ỉ ôi dai dẳng.,Để nó cứ nẵng nỉ hoài tôi bực bội quá.,Để nó cứ nài nỉ mãi tôi bực bội quá.,Nẵng nỉ [SEP] Năn nỉ ỉ ôi dai dẳng. [SEP] Để nó cứ nẵng nỉ hoài tôi bực bội quá.,Để nó cứ nài nỉ mãi tôi bực bội quá.
Công tằng tôn nữ,Dòng dõi hoàng tộc nhà Nguyễn con nhà trâm anh thế phiệt quý tộc,"Cô ta thuộc dân công tằng tôn nữ, chớ đâu phải dân ruộng như mày đâu, mà mày mơ","Cô ấy thuộc dòng dõi trâm anh thế phiệt, chứ đâu phải tầng lớp bần nông như cậu mà mơ tưởng","Công tằng tôn nữ [SEP] Dòng dõi hoàng tộc nhà Nguyễn con nhà trâm anh thế phiệt quý tộc [SEP] Cô ta thuộc dân công tằng tôn nữ, chớ đâu phải dân ruộng như mày đâu, mà mày mơ","Cô ấy thuộc dòng dõi trâm anh thế phiệt, chứ đâu phải tầng lớp bần nông như cậu mà mơ tưởng"
Bông quỳ,Hoa hướng dương,Chim quyên hút mật bông quỳ,Chim quyên hút mật hoa hướng dương,Bông quỳ [SEP] Hoa hướng dương [SEP] Chim quyên hút mật bông quỳ,Chim quyên hút mật hoa hướng dương
Mai (3),Hai (số 2 đếm theo tiếng Hoa).,Cái này mua bao nhiêu vậy? - Mai chục. Tới hai chục lận à?,Cái này mua bao nhiêu vậy? - Hai chục. Tới hai chục cơ à?,Mai (3) [SEP] Hai (số 2 đếm theo tiếng Hoa). [SEP] Cái này mua bao nhiêu vậy? - Mai chục. Tới hai chục lận à?,Cái này mua bao nhiêu vậy? - Hai chục. Tới hai chục cơ à?
Sặc gạch,"Gặp họa lớn, toi mạng","Má hay nói tới chuyện sặc gạch hoài, tao quen tai rồi.","Má hay nói tới chuyện gặp họa lớn mãi, tớ quen tai rồi.","Sặc gạch [SEP] Gặp họa lớn, toi mạng [SEP] Má hay nói tới chuyện sặc gạch hoài, tao quen tai rồi.","Má hay nói tới chuyện gặp họa lớn mãi, tớ quen tai rồi."
Ba ga,Hành lý (bagage),Chị cho thêm hai chục tiền ba ga,Chị cho thêm hai chục tiền hành lý,Ba ga [SEP] Hành lý (bagage) [SEP] Chị cho thêm hai chục tiền ba ga,Chị cho thêm hai chục tiền hành lý
Cạ,"Cọ sát vật này vào vật kia Chạm, đụng vào La cà, lân la","Mày đi cạ vào em làm nó té, sao không đỡ em dậy","Con đi đụng trúng em làm em ngã, sao không đỡ em dậy","Cạ [SEP] Cọ sát vật này vào vật kia Chạm, đụng vào La cà, lân la [SEP] Mày đi cạ vào em làm nó té, sao không đỡ em dậy","Con đi đụng trúng em làm em ngã, sao không đỡ em dậy"
Huếnh hoáng,"1. Huênh hoang, khoe khoang.2. Hoảng hốt, quýnh quáng.3. Say bí tỉ, đi loạng choạng.",đợi đến mùa này gần thì mới huếnh hoáng lên.,đợi đến lúc thi tới nơi mới hoảng hốt cuống cuồng lên.,"Huếnh hoáng [SEP] 1. Huênh hoang, khoe khoang.2. Hoảng hốt, quýnh quáng.3. Say bí tỉ, đi loạng choạng. [SEP] đợi đến mùa này gần thì mới huếnh hoáng lên.",đợi đến lúc thi tới nơi mới hoảng hốt cuống cuồng lên.
Lớt lớt,"Sơ sơ bề ngoài làm chơi cho vui dăm ba, một ít lưa thưa.",Ăn lớt lớt vài chén,Ăn lót dạ vài bát,"Lớt lớt [SEP] Sơ sơ bề ngoài làm chơi cho vui dăm ba, một ít lưa thưa. [SEP] Ăn lớt lớt vài chén",Ăn lót dạ vài bát
Mồi,"1. Đồ nhắm rượu.2. Lỗ khoan nhử châm thêm nước, châm thêm rượu.3. Mồi câu cá (mồi cắt, mồi chạy).","Ông đã mồi vô, uống sao nổi nữa.","Ông đã châm thêm vào, uống sao nổi nữa.","Mồi [SEP] 1. Đồ nhắm rượu.2. Lỗ khoan nhử châm thêm nước, châm thêm rượu.3. Mồi câu cá (mồi cắt, mồi chạy). [SEP] Ông đã mồi vô, uống sao nổi nữa.","Ông đã châm thêm vào, uống sao nổi nữa."
Bình trà,Ấm chè,"Con lấy cái bình trà, bỏ một nhúm trà, châm, cho ba tiếp khách","Con lấy cái ấm chè, bỏ một nhúm chè, châm nước, cho bố tiếp khách","Bình trà [SEP] Ấm chè [SEP] Con lấy cái bình trà, bỏ một nhúm trà, châm, cho ba tiếp khách","Con lấy cái ấm chè, bỏ một nhúm chè, châm nước, cho bố tiếp khách"
Nhận,Nhấn (chuông) ấn đầu xuống đính hạt xoàn Nhảy cóc làm ẩu Nén mắm nhồi nhét khách Dìm xuống nước.,Chở người nhận mắm,Nhồi nhét khách,Nhận [SEP] Nhấn (chuông) ấn đầu xuống đính hạt xoàn Nhảy cóc làm ẩu Nén mắm nhồi nhét khách Dìm xuống nước. [SEP] Chở người nhận mắm,Nhồi nhét khách
